YEAR,QUARTER,POST,TREAT,INDUSTRIES,WAGEGROWTH,GENDER,GDP,CPI,EMPLOYMENT,LFPR
2010,1,0,0,Financial and insurance,2.30,1,7.9,0.7,94.6,68.4
2010,1,0,1,Cleaner (general),-0.02,1,7.9,0.7,94.6,68.4
2010,1,0,1,Guard,1.54,1,7.9,0.7,94.6,68.4
2010,1,0,0,Financial and insurance,2.03,0,7.9,0.7,96.6,48.2
2010,1,0,1,Cleaner (general),0.78,0,7.9,0.7,96.6,48.2
2010,1,0,1,Guard,0.64,0,7.9,0.7,96.6,48.2
2010,2,0,0,Financial and insurance,-1.04,1,6.4,-2.2,94.5,68.2
2010,2,0,1,Cleaner (general),3.63,1,6.4,-2.2,94.5,68.2
2010,2,0,1,Guard,-0.35,1,6.4,-2.2,94.5,68.2
2010,2,0,0,Financial and insurance,-0.78,0,6.4,-2.2,96.1,48.4
2010,2,0,1,Cleaner (general),0.62,0,6.4,-2.2,96.1,48.4
2010,2,0,1,Guard,3.48,0,6.4,-2.2,96.1,48.4
2010,3,0,0,Financial and insurance,5.67,1,6.5,1.8,95,68.6
2010,3,0,1,Cleaner (general),-3.47,1,6.5,1.8,95,68.6
2010,3,0,1,Guard,0.39,1,6.5,1.8,95,68.6
2010,3,0,0,Financial and insurance,-0.01,0,6.5,1.8,96.3,48
2010,3,0,1,Cleaner (general),2.62,0,6.5,1.8,96.3,48
2010,3,0,1,Guard,-0.87,0,6.5,1.8,96.3,48
2010,4,0,0,Financial and insurance,-4.02,1,6.3,0.6,95.7,68.4
2010,4,0,1,Cleaner (general),0.68,1,6.3,0.6,95.7,68.4
2010,4,0,1,Guard,-0.01,1,6.3,0.6,95.7,68.4
2010,4,0,0,Financial and insurance,1.42,0,6.3,0.6,97,48.2
2010,4,0,1,Cleaner (general),1.44,0,6.3,0.6,97,48.2
2010,4,0,1,Guard,1.46,0,6.3,0.6,97,48.2
2011,1,0,0,Financial and insurance,6.57,1,7.6,1.9,95.9,67.8
2011,1,0,1,Cleaner (general),5.51,1,7.6,1.9,95.9,67.8
2011,1,0,1,Guard,1.35,1,7.6,1.9,95.9,67.8
2011,1,0,0,Financial and insurance,0.71,0,7.6,1.9,97.4,48.6
2011,1,0,1,Cleaner (general),2.68,0,7.6,1.9,97.4,48.6
2011,1,0,1,Guard,-0.63,0,7.6,1.9,97.4,48.6
2011,2,0,0,Financial and insurance,-0.30,1,5.1,5.3,95.6,68.5
2011,2,0,1,Cleaner (general),13.93,1,5.1,5.3,95.6,68.5
2011,2,0,1,Guard,12.26,1,5.1,5.3,95.6,68.5
2011,2,0,0,Financial and insurance,5.49,0,5.1,5.3,97,49.1
2011,2,0,1,Cleaner (general),13.44,0,5.1,5.3,97,49.1
2011,2,0,1,Guard,13.18,0,5.1,5.3,97,49.1
2011,3,0,0,Financial and insurance,-0.91,1,3.9,4.4,96.2,68.6
2011,3,0,1,Cleaner (general),-0.01,1,3.9,4.4,96.2,68.6
2011,3,0,1,Guard,0.13,1,3.9,4.4,96.2,68.6
2011,3,0,0,Financial and insurance,-0.91,0,3.9,4.4,97,49.3
2011,3,0,1,Cleaner (general),0.56,0,3.9,4.4,97,49.3
2011,3,0,1,Guard,0.33,0,3.9,4.4,97,49.3
2011,4,0,0,Financial and insurance,-2.37,1,3,4.1,96.3,68.2
2011,4,0,1,Cleaner (general),0.18,1,3,4.1,96.3,68.2
2011,4,0,1,Guard,1.24,1,3,4.1,96.3,68.2
2011,4,0,0,Financial and insurance,-2.37,0,3,4.1,97.5,49.3
2011,4,0,1,Cleaner (general),0.13,0,3,4.1,97.5,49.3
2011,4,0,1,Guard,0.24,0,3,4.1,97.5,49.3
2012,1,1,0,Financial and insurance,3.21,1,0.8,3.5,96,68.8
2012,1,1,1,Cleaner (general),1.28,1,0.8,3.5,96,68.8
2012,1,1,1,Guard,0.07,1,0.8,3.5,96,68.8
2012,1,1,0,Financial and insurance,9.93,0,0.8,3.5,97.5,49.2
2012,1,1,1,Cleaner (general),0.09,0,0.8,3.5,97.5,49.2
2012,1,1,1,Guard,0.82,0,0.8,3.5,97.5,49.2
2012,2,1,0,Financial and insurance,1.51,1,1,2.8,96.2,68.5
2012,2,1,1,Cleaner (general),3.07,1,1,2.8,96.2,68.5
2012,2,1,1,Guard,2.11,1,1,2.8,96.2,68.5
2012,2,1,0,Financial and insurance,-4.70,0,1,2.8,97.1,49.8
2012,2,1,1,Cleaner (general),3.46,0,1,2.8,97.1,49.8
2012,2,1,1,Guard,-1.63,0,1,2.8,97.1,49.8
2012,3,1,0,Financial and insurance,2.39,1,1.8,3.9,96.2,68.5
2012,3,1,1,Cleaner (general),3.05,1,1.8,3.9,96.2,68.5
2012,3,1,1,Guard,2.12,1,1.8,3.9,96.2,68.5
2012,3,1,0,Financial and insurance,2.39,0,1.8,3.9,96.9,49.5
2012,3,1,1,Cleaner (general),3.24,0,1.8,3.9,96.9,49.5
2012,3,1,1,Guard,3.91,0,1.8,3.9,96.9,49.5
2012,4,1,0,Financial and insurance,-1.18,1,3.1,3.9,96.3,68.4
2012,4,1,1,Cleaner (general),-1.00,1,3.1,3.9,96.3,68.4
2012,4,1,1,Guard,1.55,1,3.1,3.9,96.3,68.4
2012,4,1,0,Financial and insurance,-1.18,0,3.1,3.9,97.6,49.5
2012,4,1,1,Cleaner (general),-0.99,0,3.1,3.9,97.6,49.5
