QUARTER,YEAR,EMPLOYMENT,LFPR,AGE,GENDER,GDP,CPI
1,2010,88.5,9.2,0,0,7.9,0.7
1,2010,92.3,58.6,1,0,7.9,0.7
1,2010,97.2,83.2,2,0,7.9,0.7
1,2010,97.7,73.9,3,0,7.9,0.7
1,2010,97.3,70.2,4,0,7.9,0.7
1,2010,96.6,67.8,5,0,7.9,0.7
1,2010,97.1,64.7,6,0,7.9,0.7
1,2010,97.1,54.7,7,0,7.9,0.7
1,2010,96.2,37.8,8,0,7.9,0.7
1,2010,97.3,17.5,9,0,7.9,0.7
1,2010,,1.9,10,0,7.9,0.7
1,2010,75.4,9.1,0,1,7.9,0.7
1,2010,89.6,59.9,1,1,7.9,0.7
1,2010,94.7,95.1,2,1,7.9,0.7
1,2010,95.3,96.4,3,1,7.9,0.7
1,2010,95.8,96.6,4,1,7.9,0.7
1,2010,95.3,95.8,5,1,7.9,0.7
1,2010,95.9,94,6,1,7.9,0.7
1,2010,94.5,89.8,7,1,7.9,0.7
1,2010,94.2,75.3,8,1,7.9,0.7
1,2010,94.8,50.4,9,1,7.9,0.7
1,2010,98.2,9.8,10,1,7.9,0.7
2,2010,80.8,7.5,0,0,6.4,-2.2
2,2010,89.9,56.3,1,0,6.4,-2.2
2,2010,96.6,82.6,2,0,6.4,-2.2
2,2010,97,75.7,3,0,6.4,-2.2
2,2010,97.1,68.6,4,0,6.4,-2.2
2,2010,97.1,68.2,5,0,6.4,-2.2
2,2010,96.2,64.6,6,0,6.4,-2.2
2,2010,96.1,55.8,7,0,6.4,-2.2
2,2010,96.5,39.2,8,0,6.4,-2.2
2,2010,98.5,20.5,9,0,6.4,-2.2
2,2010,,2.2,10,0,6.4,-2.2
2,2010,78.1,9.6,0,1,6.4,-2.2
2,2010,87.3,59.2,1,1,6.4,-2.2
2,2010,94.1,93.7,2,1,6.4,-2.2
2,2010,95.4,96.9,3,1,6.4,-2.2
2,2010,96.2,96.4,4,1,6.4,-2.2
2,2010,95.6,95.9,5,1,6.4,-2.2
2,2010,95.4,94.2,6,1,6.4,-2.2
2,2010,95,90.6,7,1,6.4,-2.2
2,2010,94.3,75.8,8,1,6.4,-2.2
2,2010,95.3,46.8,9,1,6.4,-2.2
2,2010,97.4,10.1,10,1,6.4,-2.2
3,2010,83.5,9.7,0,0,6.5,1.8
3,2010,88.1,59.8,1,0,6.5,1.8
3,2010,96.6,83.2,2,0,6.5,1.8
3,2010,97.6,73.1,3,0,6.5,1.8
3,2010,98,68.2,4,0,6.5,1.8
3,2010,97.5,66.9,5,0,6.5,1.8
3,2010,97,63.5,6,0,6.5,1.8
3,2010,96.9,56.9,7,0,6.5,1.8
3,2010,95.9,37.4,8,0,6.5,1.8
3,2010,98.3,18.1,9,0,6.5,1.8
3,2010,,1.8,10,0,6.5,1.8
3,2010,75.1,11.7,0,1,6.5,1.8
3,2010,84.9,62.6,1,1,6.5,1.8
3,2010,94.1,93.5,2,1,6.5,1.8
3,2010,97.2,96.1,3,1,6.5,1.8
3,2010,97,96.4,4,1,6.5,1.8
3,2010,96.1,96.1,5,1,6.5,1.8
3,2010,96.4,94.2,6,1,6.5,1.8
3,2010,95.5,90.8,7,1,6.5,1.8
3,2010,95.3,78.5,8,1,6.5,1.8
3,2010,96.5,47.4,9,1,6.5,1.8
3,2010,,9.7,10,1,6.5,1.8
4,2010,75.2,9.8,0,0,6.3,0.6
4,2010,92.3,59,1,0,6.3,0.6
4,2010,97.6,83.5,2,0,6.3,0.6
4,2010,97.6,73.1,3,0,6.3,0.6
4,2010,97.6,67.9,4,0,6.3,0.6
4,2010,97.5,67.2,5,0,6.3,0.6
4,2010,97.8,66.2,6,0,6.3,0.6
4,2010,97.5,55.6,7,0,6.3,0.6
4,2010,98.3,39.4,8,0,6.3,0.6
4,2010,,17.8,9,0,6.3,0.6
4,2010,,2.2,10,0,6.3,0.6
4,2010,80.3,10.2,0,1,6.3,0.6
4,2010,88.1,60.5,1,1,6.3,0.6
4,2010,94.8,93.9,2,1,6.3,0.6
4,2010,97.4,96.5,3,1,6.3,0.6
4,2010,97,96.5,4,1,6.3,0.6
4,2010,96.7,95.5,5,1,6.3,0.6
4,2010,96.9,94.7,6,1,6.3,0.6
4,2010,95.4,90,7,1,6.3,0.6
4,2010,96.1,78.8,8,1,6.3,0.6
4,2010,97.6,48.2,9,1,6.3,0.6
4,2010,,10.4,10,1,6.3,0.6
1,2011,81.2,7.8,0,0,7.6,1.9
1,2011,94.3,58.1,1,0,7.6,1.9
1,2011,97.5,83.4,2,0,7.6,1.9
1,2011,98.2,75.1,3,0,7.6,1.9
1,2011,98.1,69.2,4,0,7.6,1.9
1,2011,97.3,68,5,0,7.6,1.9
1,2011,97.5,67,6,0,7.6,1.9
1,2011,98.6,56.3,7,0,7.6,1.9
1,2011,98.2,39.5,8,0,7.6,1.9
1,2011,98,20.6,9,0,7.6,1.9
1,2011,,2.6,10,0,7.6,1.9
1,2011,83.2,9.3,0,1,7.6,1.9
1,2011,90.5,59.3,1,1,7.6,1.9
1,2011,95.6,92.9,2,1,7.6,1.9
